[2024-05-01 14:11:48,829: INFO: common: created directory at: artifacts]
[2024-05-01 14:11:48,830: INFO: common: created directory at: articats/data_ingestion]
[2024-05-01 14:11:48,831: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/16Cr8Eg60Sth-uY8RKm6gJZxJlD6h_C6M/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-01 14:16:00,281: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/16Cr8Eg60Sth-uY8RKm6gJZxJlD6h_C6M/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-01 14:16:25,492: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-05-01 14:16:25,493: INFO: main: *******************]
[2024-05-01 14:16:25,493: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-05-01 14:16:25,498: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-01 14:16:25,502: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-01 14:16:25,503: INFO: common: created directory at: artifacts]
[2024-05-01 14:16:25,504: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-01 14:16:27,158: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-05-01 14:16:27,625: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
